Gare,Autre,Bois et produits forestiers,Fossiles,Materiaux de construction,Materiel de chemin de fer,Produit de consommation,Produits agricoles et betail,Services
Ben Thuy,12023.613,89709.82,223.6,6287.243,6192.954,18023.51,7015.472,19162.192
Bien Hoa,2975.76,59788.86,6744.39,83583.08,978.69,2006.99,2718.17,21443.813
Cho Lon,9423.19,6.53,744.68,1163.86,28.1,14488.72,9962.18,419.446
Dian,930.444,345.77,45.52,393962.42,2421.25,248.6,691,25259.291
Hanoi,34383.598,3871.108,8833.48,26531.102,27852.139,32163.6,25669.367,42994.836
Nam Dinh Do Che,13413.478,7190.424,1846.77,6373,1226.174,46991.258,50187.407,115.628
Phu Lam,10.8,0,0,196844,0,5.06,5.95,19291.544
Phu Lang Thuong,39062.135,60332.465,981.4,12128.915,6537.369,31434.146,32741.826,74853.538
Phu Ly,24750.599,975.361,78.68,50282.29,205564.577,2426.447,11236.76,73406.923
Sai Gon,31432.663,16262.06,18188.06,106396.62,25545.417,27506.759,29970.96,87152.931
Thanh Hoa,7040.836,4453.458,267.81,1065.163,3802.372,2341.637,64587.019,25497.514
Thi Cau,96950.783,50548.564,127.44,156350.913,8316.465,4626.204,14239.099,44125.385
Tourane Marche,28691.162,4615.729,6449.454,10770.593,21241.25,20888.655,21037.839,11857.375
Trang Bom,56121.699,227705.99,235.34,5790.08,1527.16,15.3,197.11,14125.924
Vinh,3791.621,1817.067,590.58,814.33,268.489,4614.475,17813.76,19040.828
