Port,Annee,Tonnage
Saigon,1914,1631000
Tourane,1914,36000
Qui Nhon,1914,19000
Ben Thuy,1914,44000
Saigon,1915,1384000
Tourane,1915,43000
Qui Nhon,1915,13000
Ben Thuy,1915,41000
Saigon,1916,1563000
Tourane,1916,42000
Qui Nhon,1916,17000
Ben Thuy,1916,36000
Saigon,1917,1577000
Tourane,1917,35000
Qui Nhon,1917,16000
Ben Thuy,1917,35000
Saigon,1918,1744000
Tourane,1918,57000
Qui Nhon,1918,13000
Ben Thuy,1918,39000
Saigon,1919,946000
Tourane,1919,39000
Qui Nhon,1919,10000
Ben Thuy,1919,38000
Saigon,1920,1314000
Tourane,1920,49000
Qui Nhon,1920,18000
Ben Thuy,1920,30000
Saigon,1921,1897000
Tourane,1921,47000
Qui Nhon,1921,20000
Ben Thuy,1921,36000
Saigon,1922,1724000
Tourane,1922,42000
Qui Nhon,1922,25000
Ben Thuy,1922,47000
Saigon,1923,1528000
Tourane,1923,54000
Qui Nhon,1923,31000
Ben Thuy,1923,40000
Saigon,1924,1513000
Tourane,1924,80000
Qui Nhon,1924,32000
Ben Thuy,1924,48000
Saigon,1925,1818000
Tourane,1925,85000
Qui Nhon,1925,31000
Ben Thuy,1925,49000
Saigon,1926,1978000
Tourane,1926,82000
Qui Nhon,1926,32000
Ben Thuy,1926,46000
Saigon,1927,2053000
Tourane,1927,42000
Qui Nhon,1927,27000
Ben Thuy,1927,41000
Saigon,1928,2230000
Tourane,1928,72000
Qui Nhon,1928,20000
Ben Thuy,1928,44000
Saigon,1929,1860000
Tourane,1929,34000
Qui Nhon,1929,27000
Ben Thuy,1929,42000
Saigon,1930,2029000
Tourane,1930,55000
Qui Nhon,1930,48000
Ben Thuy,1930,57000
Ba Ngoi,1930,15000
Saigon,1931,1703000
Tourane,1931,93000
Qui Nhon,1931,25000
Ben Thuy,1931,59000
Ba Ngoi,1931,13000
Phantiet,1931,18000
Nha Trang,1931,7000
Saigon,1932,1942000
Tourane,1932,89000
Qui Nhon,1932,28000
Ben Thuy,1932,54000
Phantiet,1932,22000
Nha Trang,1932,5000
Saigon,1933,1898000
Tourane,1933,98000
Qui Nhon,1933,59000
Ben Thuy,1933,8000
Ba Ngoi,1933,7000
Phantiet,1933,21000
Nha Trang,1933,6000
Saigon,1934,2529000
Tourane,1934,124000
Qui Nhon,1934,78000
Ben Thuy,1934,10000
Phantiet,1934,23000
Nha Trang,1934,13000
Saigon,1935,2601000
Tourane,1935,84000
Qui Nhon,1935,40000
Ben Thuy,1935,11000
Ba Ngoi,1935,23000
Phantiet,1935,19000
Nha Trang,1935,18000
Saigon,1936,2689000
Tourane,1936,101000
Qui Nhon,1936,23000
Ben Thuy,1936,68000
Ba Ngoi,1936,93000
Phantiet,1936,20000
Nha Trang,1936,9000
